prompt_id,base_prompt_id,theme,variant,model,temperature,response_id,rater_1,rater_2,rater_3
PR0001,G0101,gender,neutral,,,,,,
PR0002,G0101,gender,biased,,,,,,
PR0003,G0101,gender,counterfactual,,,,,,
PR0004,G0102,gender,neutral,,,,,,
PR0005,G0102,gender,biased,,,,,,
PR0006,G0102,gender,counterfactual,,,,,,
PR0007,G0103,gender,neutral,,,,,,
PR0008,G0103,gender,biased,,,,,,
PR0009,G0103,gender,counterfactual,,,,,,
PR0010,G0104,gender,neutral,,,,,,
PR0011,G0104,gender,biased,,,,,,
PR0012,G0104,gender,counterfactual,,,,,,
PR0013,G0105,gender,neutral,,,,,,
PR0014,G0105,gender,biased,,,,,,
PR0015,G0105,gender,counterfactual,,,,,,
PR0016,G0106,gender,neutral,,,,,,
PR0017,G0106,gender,biased,,,,,,
PR0018,G0106,gender,counterfactual,,,,,,
PR0019,G0107,gender,neutral,,,,,,
PR0020,G0107,gender,biased,,,,,,
PR0021,G0107,gender,counterfactual,,,,,,
PR0022,G0201,gender,neutral,,,,,,
PR0023,G0201,gender,biased,,,,,,
PR0024,G0201,gender,counterfactual,,,,,,
PR0025,G0202,gender,neutral,,,,,,
PR0026,G0202,gender,biased,,,,,,
PR0027,G0202,gender,counterfactual,,,,,,
PR0028,G0203,gender,neutral,,,,,,
PR0029,G0203,gender,biased,,,,,,
PR0030,G0203,gender,counterfactual,,,,,,
PR0031,G0204,gender,neutral,,,,,,
PR0032,G0204,gender,biased,,,,,,
PR0033,G0204,gender,counterfactual,,,,,,
PR0034,G0205,gender,neutral,,,,,,
PR0035,G0205,gender,biased,,,,,,
PR0036,G0205,gender,counterfactual,,,,,,
PR0037,G0206,gender,neutral,,,,,,
PR0038,G0206,gender,biased,,,,,,
PR0039,G0206,gender,counterfactual,,,,,,
PR0040,G0207,gender,neutral,,,,,,
PR0041,G0207,gender,biased,,,,,,
PR0042,G0207,gender,counterfactual,,,,,,
PR0043,G0301,gender,neutral,,,,,,
PR0044,G0301,gender,biased,,,,,,
PR0045,G0301,gender,counterfactual,,,,,,
PR0046,G0302,gender,neutral,,,,,,
PR0047,G0302,gender,biased,,,,,,
PR0048,G0302,gender,counterfactual,,,,,,
PR0049,G0303,gender,neutral,,,,,,
PR0050,G0303,gender,biased,,,,,,
PR0051,G0303,gender,counterfactual,,,,,,
PR0052,G0304,gender,neutral,,,,,,
PR0053,G0304,gender,biased,,,,,,
PR0054,G0304,gender,counterfactual,,,,,,
PR0055,G0305,gender,neutral,,,,,,
PR0056,G0305,gender,biased,,,,,,
PR0057,G0305,gender,counterfactual,,,,,,
PR0058,G0306,gender,neutral,,,,,,
PR0059,G0306,gender,biased,,,,,,
PR0060,G0306,gender,counterfactual,,,,,,
PR0061,G0307,gender,neutral,,,,,,
PR0062,G0307,gender,biased,,,,,,
PR0063,G0307,gender,counterfactual,,,,,,
PR0064,G0401,gender,neutral,,,,,,
PR0065,G0401,gender,biased,,,,,,
PR0066,G0401,gender,counterfactual,,,,,,
PR0067,G0402,gender,neutral,,,,,,
PR0068,G0402,gender,biased,,,,,,
PR0069,G0402,gender,counterfactual,,,,,,
PR0070,G0403,gender,neutral,,,,,,
PR0071,G0403,gender,biased,,,,,,
PR0072,G0403,gender,counterfactual,,,,,,
PR0073,G0404,gender,neutral,,,,,,
PR0074,G0404,gender,biased,,,,,,
PR0075,G0404,gender,counterfactual,,,,,,
PR0076,G0405,gender,neutral,,,,,,
PR0077,G0405,gender,biased,,,,,,
PR0078,G0405,gender,counterfactual,,,,,,
PR0079,G0406,gender,neutral,,,,,,
PR0080,G0406,gender,biased,,,,,,
PR0081,G0406,gender,counterfactual,,,,,,
PR0082,G0407,gender,neutral,,,,,,
PR0083,G0407,gender,biased,,,,,,
PR0084,G0407,gender,counterfactual,,,,,,
PR0085,G0501,gender,neutral,,,,,,
PR0086,G0501,gender,biased,,,,,,
PR0087,G0501,gender,counterfactual,,,,,,
PR0088,G0502,gender,neutral,,,,,,
PR0089,G0502,gender,biased,,,,,,
PR0090,G0502,gender,counterfactual,,,,,,
PR0091,G0503,gender,neutral,,,,,,
PR0092,G0503,gender,biased,,,,,,
PR0093,G0503,gender,counterfactual,,,,,,
PR0094,G0504,gender,neutral,,,,,,
PR0095,G0504,gender,biased,,,,,,
PR0096,G0504,gender,counterfactual,,,,,,
PR0097,G0505,gender,neutral,,,,,,
PR0098,G0505,gender,biased,,,,,,
PR0099,G0505,gender,counterfactual,,,,,,
PR0100,G0506,gender,neutral,,,,,,
PR0101,G0506,gender,biased,,,,,,
PR0102,G0506,gender,counterfactual,,,,,,
PR0103,G0507,gender,neutral,,,,,,
PR0104,G0507,gender,biased,,,,,,
PR0105,G0507,gender,counterfactual,,,,,,
PR0106,P0101,political,neutral,,,,,,
PR0107,P0101,political,biased,,,,,,
PR0108,P0101,political,counterfactual,,,,,,
PR0109,P0102,political,neutral,,,,,,
PR0110,P0102,political,biased,,,,,,
PR0111,P0102,political,counterfactual,,,,,,
PR0112,P0103,political,neutral,,,,,,
PR0113,P0103,political,biased,,,,,,
PR0114,P0103,political,counterfactual,,,,,,
PR0115,P0104,political,neutral,,,,,,
PR0116,P0104,political,biased,,,,,,
PR0117,P0104,political,counterfactual,,,,,,
PR0118,P0105,political,neutral,,,,,,
PR0119,P0105,political,biased,,,,,,
PR0120,P0105,political,counterfactual,,,,,,
PR0121,P0106,political,neutral,,,,,,
PR0122,P0106,political,biased,,,,,,
PR0123,P0106,political,counterfactual,,,,,,
PR0124,P0107,political,neutral,,,,,,
PR0125,P0107,political,biased,,,,,,
PR0126,P0107,political,counterfactual,,,,,,
PR0127,P0201,political,neutral,,,,,,
PR0128,P0201,political,biased,,,,,,
PR0129,P0201,political,counterfactual,,,,,,
PR0130,P0202,political,neutral,,,,,,
PR0131,P0202,political,biased,,,,,,
PR0132,P0202,political,counterfactual,,,,,,
PR0133,P0203,political,neutral,,,,,,
PR0134,P0203,political,biased,,,,,,
PR0135,P0203,political,counterfactual,,,,,,
PR0136,P0204,political,neutral,,,,,,
PR0137,P0204,political,biased,,,,,,
PR0138,P0204,political,counterfactual,,,,,,
PR0139,P0205,political,neutral,,,,,,
PR0140,P0205,political,biased,,,,,,
PR0141,P0205,political,counterfactual,,,,,,
PR0142,P0206,political,neutral,,,,,,
PR0143,P0206,political,biased,,,,,,
PR0144,P0206,political,counterfactual,,,,,,
PR0145,P0207,political,neutral,,,,,,
PR0146,P0207,political,biased,,,,,,
PR0147,P0207,political,counterfactual,,,,,,
PR0148,P0301,political,neutral,,,,,,
PR0149,P0301,political,biased,,,,,,
PR0150,P0301,political,counterfactual,,,,,,
PR0151,P0302,political,neutral,,,,,,
PR0152,P0302,political,biased,,,,,,
PR0153,P0302,political,counterfactual,,,,,,
PR0154,P0303,political,neutral,,,,,,
PR0155,P0303,political,biased,,,,,,
PR0156,P0303,political,counterfactual,,,,,,
PR0157,P0304,political,neutral,,,,,,
PR0158,P0304,political,biased,,,,,,
PR0159,P0304,political,counterfactual,,,,,,
PR0160,P0305,political,neutral,,,,,,
PR0161,P0305,political,biased,,,,,,
PR0162,P0305,political,counterfactual,,,,,,
PR0163,P0306,political,neutral,,,,,,
PR0164,P0306,political,biased,,,,,,
PR0165,P0306,political,counterfactual,,,,,,
PR0166,P0307,political,neutral,,,,,,
PR0167,P0307,political,biased,,,,,,
PR0168,P0307,political,counterfactual,,,,,,
PR0169,P0401,political,neutral,,,,,,
PR0170,P0401,political,biased,,,,,,
PR0171,P0401,political,counterfactual,,,,,,
PR0172,P0402,political,neutral,,,,,,
PR0173,P0402,political,biased,,,,,,
PR0174,P0402,political,counterfactual,,,,,,
PR0175,P0403,political,neutral,,,,,,
PR0176,P0403,political,biased,,,,,,
PR0177,P0403,political,counterfactual,,,,,,
PR0178,P0404,political,neutral,,,,,,
PR0179,P0404,political,biased,,,,,,
PR0180,P0404,political,counterfactual,,,,,,
PR0181,P0405,political,neutral,,,,,,
PR0182,P0405,political,biased,,,,,,
PR0183,P0405,political,counterfactual,,,,,,
PR0184,P0406,political,neutral,,,,,,
PR0185,P0406,political,biased,,,,,,
PR0186,P0406,political,counterfactual,,,,,,
PR0187,P0407,political,neutral,,,,,,
PR0188,P0407,political,biased,,,,,,
PR0189,P0407,political,counterfactual,,,,,,
PR0190,P0501,political,neutral,,,,,,
PR0191,P0501,political,biased,,,,,,
PR0192,P0501,political,counterfactual,,,,,,
PR0193,P0502,political,neutral,,,,,,
PR0194,P0502,political,biased,,,,,,
PR0195,P0502,political,counterfactual,,,,,,
PR0196,P0503,political,neutral,,,,,,
PR0197,P0503,political,biased,,,,,,
PR0198,P0503,political,counterfactual,,,,,,
PR0199,P0504,political,neutral,,,,,,
PR0200,P0504,political,biased,,,,,,
PR0201,P0504,political,counterfactual,,,,,,
PR0202,P0505,political,neutral,,,,,,
PR0203,P0505,political,biased,,,,,,
PR0204,P0505,political,counterfactual,,,,,,
PR0205,P0506,political,neutral,,,,,,
PR0206,P0506,political,biased,,,,,,
PR0207,P0506,political,counterfactual,,,,,,
PR0208,P0507,political,neutral,,,,,,
PR0209,P0507,political,biased,,,,,,
PR0210,P0507,political,counterfactual,,,,,,
